matricula,nombre,primer_apellido,segundo_apellido,carrera
130,monchis,romero,sosa,arq
131,monchis,romero,sosa,arq
132,monchis,romero,sosa,arq
133,monchis,romero,sosa,arq
135,monchis,romero,sosa,arq
136,monchis,romero,sosa,arq
171604,Robin,Van,Persie,TIC
171601,Eliazar,Rodriguez,Velasco,TIC
171602,Eliazar,Rodriguez,Velasco,TIC
171603,Eliazar,Rodriguez,Velasco,TIC
171604,Robin,Van,Persie,TIC
171604,Robin,Van,Persie,TIC
171604,Robin,Van,Persie,TIC
171604,Robin,Van,Persie,TIC
171605,Eliazar,Rodriguez,Velasco,TIC
